id_pedido,data_pedido,uf,regiao,canal_venda,categoria_produto,forma_pagamento,segmento_cliente,quantidade,preco_unitario,desconto_pct,receita_liquida,custo_total,tempo_entrega_dias,avaliacao_cliente
PED-0001,2026-04-01,PE,Nordeste,E-commerce,Smartphones,Pix,B2B,11,1821.67,5.0,19036.45,16231.74,7,4.3
PED-0002,2025-09-07,PE,Nordeste,Loja Fisica,Monitores,Cartao Credito,B2C,4,2293.5,0.0,9174.0,7100.35,7,4.1
PED-0003,2026-06-04,SP,Sudeste,Marketplace,Notebooks,Cartao Credito,B2B,14,5175.53,0.0,72457.42,61924.16,4,4.2
PED-0004,2026-04-28,RJ,Sudeste,E-commerce,Smartphones,Cartao Credito,B2B,4,4664.68,15.0,15859.91,15669.79,1,4.5
PED-0005,2025-11-12,SP,Sudeste,App Movel,Smartphones,Cartao Credito,B2C,1,4197.77,5.0,3987.88,3525.09,5,3.9
PED-0006,2026-03-22,RJ,Sudeste,E-commerce,Audio,Cartao Debito,B2B,9,484.68,0.0,4362.12,3188.73,4,3.7
PED-0007,2026-04-13,GO,Centro-Oeste,E-commerce,Monitores,Pix,B2B,11,1251.76,5.0,13080.89,11167.37,4,4.2
PED-0008,2026-08-17,PR,Sul,App Movel,Audio,Pix,B2C,2,895.51,5.5,1692.51,1265.74,3,4.1
PED-0009,2026-03-01,BA,Nordeste,App Movel,Notebooks,Cartao Debito,B2B,8,3679.67,4.8,28024.37,24026.93,10,3.2
PED-0010,2025-11-17,CE,Nordeste,E-commerce,Perifericos,Cartao Credito,B2B,11,396.66,5.0,4145.1,2910.57,4,3.8
PED-0011,2026-03-01,SC,Sul,E-commerce,Perifericos,Pix,Assinante,3,204.52,0.0,613.56,401.5,6,4.2
PED-0012,2026-06-25,PR,Sul,Marketplace,Notebooks,Boleto,B2C,2,5808.35,22.0,9061.03,9934.26,4,3.2
PED-0013,2026-05-13,PA,Norte,Loja Fisica,Monitores,Cartao Credito,B2C,1,1409.98,5.2,1336.66,1070.1,10,3.7
PED-0014,2026-04-08,SP,Sudeste,E-commerce,Notebooks,Cartao Credito,B2C,1,5518.71,10.0,4966.84,4698.38,2,4.0
PED-0015,2026-02-14,SP,Sudeste,Loja Fisica,Notebooks,Cartao Credito,B2C,3,6095.47,16.0,15360.58,14392.69,2,4.4
PED-0016,2026-07-08,SP,Sudeste,E-commerce,Perifericos,Pix,B2C,4,119.2,15.8,401.47,320.95,5,4.3
PED-0017,2026-03-01,AM,Norte,Marketplace,Smart Home,Pix,B2C,1,432.81,0.0,432.81,307.85,11,3.4
PED-0018,2026-06-15,RJ,Sudeste,Marketplace,Monitores,Cartao Debito,B2B,10,1025.07,0.0,10250.7,8370.3,1,3.9
PED-0019,2026-06-02,SP,Sudeste,App Movel,Perifericos,Cartao Credito,B2C,2,522.7,0.0,1045.4,650.15,4,3.6
PED-0020,2026-08-19,SP,Sudeste,Loja Fisica,Perifericos,Cartao Credito,B2C,2,566.05,0.0,1132.1,751.77,3,4.6
PED-0021,2026-05-10,MG,Sudeste,App Movel,Smart Home,Pix,B2C,2,197.99,5.2,375.39,285.27,4,4.3
PED-0022,2025-09-08,RJ,Sudeste,Marketplace,Smartphones,Cartao Credito,B2C,8,3919.71,0.0,31357.68,27499.24,2,4.8
PED-0023,2026-08-05,SP,Sudeste,Marketplace,Smart Home,Pix,B2C,1,387.45,11.0,344.83,288.81,2,4.1
PED-0024,2026-07-02,SP,Sudeste,E-commerce,Perifericos,Pix,B2B,13,589.49,0.0,7663.37,4952.22,2,3.5
PED-0025,2025-10-23,GO,Centro-Oeste,Marketplace,Perifericos,Cartao Credito,B2C,1,240.29,15.8,202.32,160.81,7,2.9
PED-0026,2025-11-08,BA,Nordeste,Loja Fisica,Smartphones,Cartao Debito,Assinante,3,4925.33,5.0,14037.19,12135.71,7,3.4
PED-0027,2026-01-06,PE,Nordeste,App Movel,Smartphones,Cartao Debito,Assinante,3,2487.18,7.5,6901.92,6093.75,9,2.9
PED-0028,2025-11-27,MT,Centro-Oeste,Marketplace,Smartphones,Cartao Debito,B2C,2,2974.32,5.0,5651.21,4838.63,5,3.4
PED-0029,2026-03-22,PA,Norte,App Movel,Perifericos,Pix,Assinante,1,580.52,0.0,580.52,362.56,8,4.0
PED-0030,2025-12-20,PA,Norte,App Movel,Notebooks,Pix,B2C,1,5435.66,25.2,4065.87,4540.53,12,3.0
PED-0031,2025-11-14,SP,Sudeste,E-commerce,Monitores,Pix,B2B,14,2590.1,12.5,31728.73,28755.93,2,4.8
PED-0032,2026-03-07,MG,Sudeste,Marketplace,Smart Home,Boleto,B2C,1,547.39,0.0,547.39,385.72,1,4.5
PED-0033,2026-04-15,MG,Sudeste,Loja Fisica,Monitores,Cartao Debito,Assinante,3,2083.59,0.0,6250.77,4955.49,3,3.9
PED-0034,2026-08-08,BA,Nordeste,E-commerce,Smartphones,Pix,B2C,1,4644.03,0.0,4644.03,3913.65,6,3.6
