id_pedido,data_pedido,uf,regiao,canal_venda,categoria_produto,forma_pagamento,segmento_cliente,quantidade,preco_unitario,desconto_pct,receita_liquida,custo_total,tempo_entrega_dias,avaliacao_cliente,quantidade_norm,preco_unitario_norm,desconto_pct_norm,receita_liquida_norm,custo_total_norm,tempo_entrega_dias_norm,avaliacao_cliente_norm
PED-0001,2026-04-01,PE,Nordeste,E-commerce,Smartphones,Pix,B2B,11,1821.67,5.0,19036.45,16231.74,7,4.3,0.7143,0.2381,0.1667,0.2618,0.2614,0.5455,0.6957
PED-0002,2025-09-07,PE,Nordeste,Loja Fisica,Monitores,Cartao Credito,B2C,4,2293.5,0.0,9174.0,7100.35,7,4.1,0.2143,0.3032,0.0,0.1255,0.1138,0.5455,0.6087
PED-0003,2026-06-04,SP,Sudeste,Marketplace,Notebooks,Cartao Credito,B2B,14,5175.53,0.0,72457.42,61924.16,4,4.2,0.9286,0.7007,0.0,1.0,1.0,0.2727,0.6522
PED-0004,2026-04-28,RJ,Sudeste,E-commerce,Smartphones,Cartao Credito,B2B,4,4664.68,15.0,15859.91,15669.79,1,4.5,0.2143,0.6303,0.5,0.2179,0.2523,0.0,0.7826
PED-0005,2025-11-12,SP,Sudeste,App Movel,Smartphones,Cartao Credito,B2C,1,4197.77,5.0,3987.88,3525.09,5,3.9,0.0,0.5659,0.1667,0.0538,0.056,0.3636,0.5217
PED-0006,2026-03-22,RJ,Sudeste,E-commerce,Audio,Cartao Debito,B2B,9,484.68,0.0,4362.12,3188.73,4,3.7,0.5714,0.0537,0.0,0.059,0.0505,0.2727,0.4348
PED-0007,2026-04-13,GO,Centro-Oeste,E-commerce,Monitores,Pix,B2B,11,1251.76,5.0,13080.89,11167.37,4,4.2,0.7143,0.1595,0.1667,0.1795,0.1795,0.2727,0.6522
PED-0008,2026-08-17,PR,Sul,App Movel,Audio,Pix,B2C,2,895.51,5.5,1692.51,1265.74,3,4.1,0.0714,0.1104,0.1833,0.0221,0.0194,0.1818,0.6087
PED-0009,2026-03-01,BA,Nordeste,App Movel,Notebooks,Cartao Debito,B2B,8,3679.67,4.8,28024.37,24026.93,10,3.2,0.5,0.4944,0.16,0.386,0.3874,0.8182,0.2174
PED-0010,2025-11-17,CE,Nordeste,E-commerce,Perifericos,Cartao Credito,B2B,11,396.66,5.0,4145.1,2910.57,4,3.8,0.7143,0.0416,0.1667,0.056,0.046,0.2727,0.4783
PED-0011,2026-03-01,SC,Sul,E-commerce,Perifericos,Pix,Assinante,3,204.52,0.0,613.56,401.5,6,4.2,0.1429,0.0151,0.0,0.0072,0.0055,0.4545,0.6522
PED-0012,2026-06-25,PR,Sul,Marketplace,Notebooks,Boleto,B2C,2,5808.35,22.0,9061.03,9934.26,4,3.2,0.0714,0.788,0.7333,0.1239,0.1596,0.2727,0.2174
PED-0013,2026-05-13,PA,Norte,Loja Fisica,Monitores,Cartao Credito,B2C,1,1409.98,5.2,1336.66,1070.1,10,3.7,0.0,0.1814,0.1733,0.0172,0.0163,0.8182,0.4348
PED-0014,2026-04-08,SP,Sudeste,E-commerce,Notebooks,Cartao Credito,B2C,1,5518.71,10.0,4966.84,4698.38,2,4.0,0.0,0.7481,0.3333,0.0673,0.0749,0.0909,0.5652
PED-0015,2026-02-14,SP,Sudeste,Loja Fisica,Notebooks,Cartao Credito,B2C,3,6095.47,16.0,15360.58,14392.69,2,4.4,0.1429,0.8276,0.5333,0.211,0.2316,0.0909,0.7391
PED-0016,2026-07-08,SP,Sudeste,E-commerce,Perifericos,Pix,B2C,4,119.2,15.8,401.47,320.95,5,4.3,0.2143,0.0033,0.5267,0.0042,0.0042,0.3636,0.6957
PED-0017,2026-03-01,AM,Norte,Marketplace,Smart Home,Pix,B2C,1,432.81,0.0,432.81,307.85,11,3.4,0.0,0.0466,0.0,0.0047,0.004,0.9091,0.3043
PED-0018,2026-06-15,RJ,Sudeste,Marketplace,Monitores,Cartao Debito,B2B,10,1025.07,0.0,10250.7,8370.3,1,3.9,0.6429,0.1283,0.0,0.1403,0.1343,0.0,0.5217
PED-0019,2026-06-02,SP,Sudeste,App Movel,Perifericos,Cartao Credito,B2C,2,522.7,0.0,1045.4,650.15,4,3.6,0.0714,0.059,0.0,0.0131,0.0095,0.2727,0.3913
PED-0020,2026-08-19,SP,Sudeste,Loja Fisica,Perifericos,Cartao Credito,B2C,2,566.05,0.0,1132.1,751.77,3,4.6,0.0714,0.065,0.0,0.0143,0.0111,0.1818,0.8261
PED-0021,2026-05-10,MG,Sudeste,App Movel,Smart Home,Pix,B2C,2,197.99,5.2,375.39,285.27,4,4.3,0.0714,0.0142,0.1733,0.0039,0.0036,0.2727,0.6957
PED-0022,2025-09-08,RJ,Sudeste,Marketplace,Smartphones,Cartao Credito,B2C,8,3919.71,0.0,31357.68,27499.24,2,4.8,0.5,0.5275,0.0,0.432,0.4435,0.0909,0.913
PED-0023,2026-08-05,SP,Sudeste,Marketplace,Smart Home,Pix,B2C,1,387.45,11.0,344.83,288.81,2,4.1,0.0,0.0403,0.3667,0.0035,0.0037,0.0909,0.6087
PED-0024,2026-07-02,SP,Sudeste,E-commerce,Perifericos,Pix,B2B,13,589.49,0.0,7663.37,4952.22,2,3.5,0.8571,0.0682,0.0,0.1046,0.079,0.0909,0.3478
